precinct,dist10,dist12
270690092,01A,01A
270690045,01A,01A
270690050,01A,01A
270690055,01A,01A
270690060,01A,01A
270690065,01A,01A
270690070,01A,01A
270690075,01A,01A
270690080,01A,01A
270690085,01A,01A
270690090,01A,01A
270690095,01A,01A
270690100,01A,01A
270690105,01A,01A
270690115,01A,01A
270690118,01A,01A
270690120,01A,01A
270690125,01A,01A
270690130,01A,01A
270690135,01A,01A
270690140,01A,01A
270690110,01A,01A
270690005,01A,01A
270690010,01A,01A
270690015,01A,01A
270690020,01A,01A
270690025,01A,01A
270690030,01A,01A
270690035,01A,01A
270690040,01A,01A
270690145,01A,01A
270690150,01A,01A
270690155,01A,01A
270690160,01A,01A
270690165,01A,01A
270690170,01A,01A
270690175,01A,01A
270690180,01A,01A
270690185,01A,01A
270890166,01A,01A
270890005,01A,01A
270890045,01A,01A
270890050,01A,01A
270890070,01A,01A
270890075,01A,01A
270890080,01A,01A
270890085,01A,01A
270890090,01A,01A
270890105,01A,01A
270890110,01A,01A
270890115,01A,01A
270890120,01A,01A
270890125,01A,01A
270890130,01A,01A
270890135,01A,01A
270890150,01A,01A
270890160,01A,01A
270890165,01A,01A
270890170,01A,01A
270890175,01A,01A
270890180,01A,01A
270890185,01A,01A
270890190,01A,01A
270890210,01A,01A
270890220,01A,01A
270890230,01A,01A
270890240,01A,01A
270890245,01A,01A
270890255,01A,01A
270890295,01A,01A
271350005,01A,01A
271350010,01A,01A
271350015,01A,01A
271350020,01A,01A
271350025,01A,01A
271350028,01A,01A
271350030,01A,01A
271350035,01A,01A
271350040,01A,01A
271350045,01A,01A
271350050,01A,01A
271130055,01A,01A
271130060,01A,01A
271130085,01A,01B
271130090,01A,01B
271130100,01A,01B
271130120,01A,01A
271130125,01A,01A
271130135,01A,01A
271130140,01A,01A
271130150,01A,01A
271130155,01A,01A
271130165,01A,01A
271130170,01A,01A
271130180,01A,01A
271130185,01A,01A
271350055,01A,01A
271350060,01A,01A
271350065,01A,01A
271350070,01A,01A
271350075,01A,01A
271350080,01A,01A
271350083,01A,01A
271350085,01A,01A
271350090,01A,01A
271350095,01A,01A
271350100,01A,01A
271350105,01A,01A
271350110,01A,01A
271350115,01A,01A
271350120,01A,01A
271350121,01A,01A
271350122,01A,01A
271350125,01A,01A
271350130,01A,01A
271350135,01A,01A
271350140,01A,01A
271350145,01A,01A
271350150,01A,01A
271350155,01A,01A
271350160,01A,01A
271350165,01A,01A
271350170,01A,01A
271350175,01A,01A
271350176,01A,01A
271350180,01A,01A
271350185,01A,01A
271350190,01A,01A
271350195,01A,01A
270890010,01B,01A
270890015,01B,01A
270890020,01B,01A
270890025,01B,01A
270890030,01B,01A
270890035,01B,01A
270890040,01B,01A
270890055,01B,01A
270890060,01B,01A
270890065,01B,01A
270890095,01B,01A
270890100,01B,01A
270890140,01B,01A
270890145,01B,01A
270890155,01B,01A
270890195,01B,01A
270890200,01B,01A
270890205,01B,01A
270890215,01B,01A
270890225,01B,01A
270890235,01B,01A
270890250,01B,01A
270890260,01B,01A
270890265,01B,01A
270890270,01B,01A
270890275,01B,01A
270890280,01B,01A
270890285,01B,01A
270890290,01B,01A
270890300,01B,01A
271130005,01B,01B
271130010,01B,01B
271130015,01B,01B
271130045,01B,01B
271130050,01B,01B
271130065,01B,01A
271130070,01B,01B
271130080,01B,01B
271130095,01B,01B
271130105,01B,01A
271130110,01B,01B
271130195,01B,01B
271190005,01B,01B
271190010,01B,01B
271190015,01B,01B
271190020,01B,01B
271190035,01B,01B
271190040,01B,01B
271190045,01B,01B
271190055,01B,01B
271190065,01B,01B
271190070,01B,01B
271190075,01B,01B
271190080,01B,01B
271190085,01B,01B
271190090,01B,01B
271190105,01B,01B
271190110,01B,01B
271190120,01B,01B
271190130,01B,01B
271190140,01B,01B
271190150,01B,01B
271190165,01B,01B
271190170,01B,01B
271190175,01B,01B
271190180,01B,01B
271190185,01B,01B
271190190,01B,01B
271190200,01B,01B
271190205,01B,01B
271190230,01B,01B
271190235,01B,01B
271190240,01B,01B
271190245,01B,01B
271190260,01B,01B
271190265,01B,01B
271190270,01B,01B
271190285,01B,01B
271190295,01B,01B
271190300,01B,01B
271190310,01B,01B
271190320,01B,01B
271190330,01B,01B
271190340,01B,01B
271190345,01B,01B
271190355,01B,01B
271190360,01B,01B
271190365,01B,01B
271190380,01B,01B
271190385,01B,01B
271190395,01B,01B
271190400,01B,01B
271190415,01B,01B
271190420,01B,01B
271190435,01B,01B
271190440,01B,01B
271190455,01B,01B
271250005,01B,01B
271250010,01B,01B
271250015,01B,01B
271250020,01B,01B
271250025,01B,01B
271250030,01B,01B
271250035,01B,01B
271250040,01B,01B
271250045,01B,01B
271250050,01B,01B
271250055,01B,01B
271250060,01B,01B
271250065,01B,01B
271250070,01B,01B
271250075,01B,01B
271250080,01B,01B
271250085,01B,01B
271250087,01B,01B
271250090,01B,01B
271250095,01B,01B
271250100,01B,01B
270050145,02A,02B
270050150,02A,02B
270050155,02A,02B
270050160,02A,02B
270050165,02A,02B
270050170,02A,02B
270050175,02A,02B
270050185,02A,02B
270050190,02A,02B
270050195,02A,02B
270050200,02A,02B
270050210,02A,02B
270050220,02A,02B
270050225,02A,02B
270050230,02A,02B
270050005,02A,02B
270050010,02A,02B
270050015,02A,02B
270050020,02A,02B
270050025,02A,02B
270050030,02A,02B
270050035,02A,02B
270050045,02A,02B
270050080,02A,04B
270050082,02A,02B
270050085,02A,02B
270050095,02A,02B
270050100,02A,02B
270050110,02A,02B
270050115,02A,02B
270050120,02A,02B
270050130,02A,02B
270050135,02A,02B
270050050,02A,02B
270290040,02A,02B
270290065,02A,02B
270290070,02A,02B
270290110,02A,02B
270290135,02A,02B
270290140,02A,02B
270870005,02A,02B
270870010,02A,02B
270870015,02A,02B
270870020,02A,02B
270870025,02A,02B
270870030,02A,02B
270870035,02A,02B
270870040,02A,02B
270870045,02A,02B
270870050,02A,02B
270870055,02A,02B
270870060,02A,02B
270870065,02A,02B
270870070,02A,02B
270870075,02A,02B
270870080,02A,02B
270870085,02A,02B
270870090,02A,02B
270870095,02A,02B
271070005,02A,04B
271070010,02A,04B
271070015,02A,04B
271070020,02A,04B
271070025,02A,04B
271070030,02A,04B
271070035,02A,04B
271070040,02A,04B
271070045,02A,04B
271070050,02A,04B
