district,total_precincts,gop_votes,dfl_votes,total_votes,gop%,dfl%,margin
13A,27,7238,5761,15833,0.45714646624139454,0.36386029179561674,-0.0932861744457778
25B,18,7250,5366,15036,0.4821761106677308,0.3568768289438681,-0.12529928172386273
61A,14,3820,15008,18633,0.2050126120324156,0.8054526914613858,0.6004400794289702
15B,25,9424,5706,14766,0.6382229446024651,0.38642828118650957,-0.2517946634159555
65B,14,2839,7728,11030,0.25738893925657297,0.7006346328195829,0.44324569356300997
43A,16,8046,8814,17053,0.4718231396235267,0.5168592036591803,0.04503606403565358
03,116,12859,22232,35149,0.3658425559759879,0.6325073259552192,0.2666647699792313
11B,57,7963,7293,14756,0.5396448902141502,0.4942396313364055,-0.04540525887774466
25,38,19634,10275,29947,0.6556249373893879,0.3431061542057635,-0.31251878318362436
38B,12,10520,7773,17779,0.5917093199842511,0.43720119241802124,-0.1545081275662299
08,108,20264,13579,33879,0.5981286342572095,0.40080876058915554,-0.19731987366805398
23B,59,9858,1335,15632,0.6306294779938587,0.08540174002047082,-0.5452277379733879
07,34,8168,21219,29449,0.27736086114978437,0.7205338042038779,0.44317294305409355
48,31,20031,15383,35441,0.5651928557320617,0.4340453147484552,-0.13114754098360648
18B,48,10866,5126,13553,0.8017413118866672,0.37821884453626503,-0.42352246735040217
30,21,19352,9534,28922,0.6691100200539382,0.32964525274877254,-0.3394647673051656
02,194,16029,16110,32170,0.49825924774634756,0.5007771215418091,0.0025178737954615338
63A,15,2832,15410,18225,0.15539094650205762,0.8455418381344307,0.6901508916323731
47A,19,9430,4192,14816,0.6364740820734341,0.28293736501079914,-0.353536717062635
30A,14,10025,5691,14951,0.670523710788576,0.3806434352217243,-0.2898802755668517
50,27,14107,17165,31315,0.4504869870669008,0.5481398690723296,0.09765288200542876
20B,25,7120,7737,15671,0.4543424159275094,0.49371450449875565,0.039372088571246244
60A,13,2904,11037,14019,0.20714744275625938,0.7872886796490477,0.5801412368927883
15,62,16827,12905,29771,0.5652144704578281,0.43347552987806925,-0.13173894057975888
18,85,17023,11154,30400,0.5599671052631578,0.3669078947368421,-0.19305921052631575
51,26,17792,16609,34429,0.5167736501205379,0.48241308199482996,-0.034360568125707924
39,33,19758,15654,36987,0.5341876875659015,0.42322978343742396,-0.11095790412847756
38A,14,9519,6339,15783,0.6031172780840145,0.40163467021478805,-0.20148260786922645
17A,95,8159,8861,16401,0.497469666483751,0.5402719346381318,0.04280226815438082
16,154,17546,12973,30560,0.5741492146596858,0.4245091623036649,-0.1496400523560209
29A,23,10944,5419,16194,0.6758058540200074,0.3346301099172533,-0.3411757441027541
29,33,20006,10146,30502,0.6558914169562652,0.33263392564422006,-0.3232574913120451
11,103,12946,16717,29704,0.4358335577699973,0.5627861567465661,0.12695259897656874
56B,9,6843,5043,11950,0.5726359832635983,0.4220083682008368,-0.1506276150627615
06,113,10869,24789,35696,0.30448789780367547,0.6944475571492604,0.38995965934558496
49,33,22502,17457,40000,0.56255,0.436425,-0.126125
10,116,17541,14267,34420,0.5096165020337013,0.4144973852411389,-0.09511911679256246
15A,37,8306,7199,15058,0.5516004781511489,0.47808473900916454,-0.07351573914198434
31A,16,10432,5750,15646,0.6667518854659338,0.3675060718394478,-0.299245813626486
37A,17,7286,7948,15786,0.4615482072722666,0.5034840998352971,0.041935892563030486
03A,97,6653,12258,18875,0.352476821192053,0.649430463576159,0.296953642384106
08A,51,11234,7257,17071,0.6580750981196181,0.4251069064495343,-0.23296819167008376
12,207,19298,13403,32730,0.5896119767797128,0.40950198594561565,-0.18010999083409712
21,91,17744,14213,31983,0.5547947347028108,0.4443923334271332,-0.11040240127567763
40A,13,3853,5841,9478,0.40652036294576915,0.6162692551171133,0.20974889217134413
64,30,9994,25177,35228,0.28369478823662997,0.7146871806517543,0.4309923924151243
20A,21,9187,5423,15746,0.5834497650196876,0.3444049282357424,-0.23904483678394517
07A,16,5288,11101,15620,0.3385403329065301,0.7106914212548016,0.3721510883482715
11A,46,5946,9424,15022,0.39581946478498203,0.6273465583810411,0.2315270935960591
05,120,15468,16871,32393,0.4775105732720032,0.5208223999012133,0.04331182662921007
55B,14,10524,4187,15340,0.6860495436766623,0.2729465449804433,-0.41310299869621897
32,35,17749,14197,31993,0.5547776076016628,0.4437533210389773,-0.11102428656268554
01,281,12533,17245,29803,0.42052813475153505,0.578633023521122,0.15810488876958695
26,44,16063,13513,29622,0.5422658834649923,0.4561812166632908,-0.08608466680170146
14B,24,6254,6264,12129,0.5156237117651908,0.5164481820430373,0.0008244702778464896
14A,18,8550,6714,14158,0.6038988557705891,0.474219522531431,-0.1296793332391581
42A,14,8909,8319,17660,0.5044733861834655,0.47106455266138164,-0.03340883352208385
22,197,16614,11781,28440,0.5841772151898734,0.4142405063291139,-0.1699367088607595
27B,41,5919,9066,14391,0.4112987283718991,0.6299770690014592,0.2186783406295601
24,53,15739,12853,28655,0.5492584191240621,0.4485430116908044,-0.10071540743325774
52B,15,6862,9190,17359,0.39529926839103635,0.5294083760585288,0.1341091076674924
66A,12,5972,10898,16817,0.35511684604864124,0.6480347267645834,0.29291788071594216
02A,107,8475,8428,16251,0.5215063688388407,0.5186142391237463,-0.002892129715094449
27,92,13089,17969,31107,0.42077345934998556,0.5776513324975086,0.156877873147523
45,31,13215,18964,32219,0.410161705825755,0.5885967907135541,0.17843508488779908
48A,20,10141,8655,19200,0.5281770833333334,0.45078125,-0.07739583333333333
63B,12,3853,10678,14749,0.26123805003729067,0.7239812868669062,0.46274323682961555
30B,7,9375,3843,13886,0.6751404292092755,0.27675356474146623,-0.3983868644678093
43B,12,5525,7411,13852,0.3988593704880162,0.5350129945134277,0.13615362402541148
23A,89,11116,1253,17022,0.6530372459170485,0.07361062154858418,-0.5794266243684643
58,38,20677,12044,32758,0.6312045912448867,0.3676659136699432,-0.2635386775749435
26A,18,5941,6908,13255,0.44820822331195775,0.5211618257261411,0.07295360241418336
14,42,13543,12978,26563,0.5098445205737304,0.48857433271844297,-0.021270187855287448
39A,14,11457,6784,18087,0.6334383811577377,0.3750760214518715,-0.25836235970586613
13,51,19375,11143,30554,0.6341231917261242,0.36469856647247495,-0.26942462525364924
08B,57,9891,6322,16673,0.5932345708630721,0.37917591315300186,-0.2140586577100702
63,27,7058,26088,33211,0.21251994820993045,0.7855228689289693,0.5730029207190388
19A,43,7215,10371,17188,0.4197696067023505,0.60338608331394,0.18361647661158947
38,26,18861,14112,33728,0.5592089658444023,0.41840607210626185,-0.14080289373814042
57A,12,8347,5920,14328,0.5825656058068118,0.41317699609156894,-0.1693886097152429
07B,18,3571,10118,13769,0.259350715375118,0.7348391313820902,0.4754884160069722
13B,24,9115,5382,14785,0.6165032127155902,0.3640175853905986,-0.2524856273249916
12B,59,12322,5259,13612,0.9052306788128123,0.38635027916544223,-0.5188803996473701
33B,22,11580,5920,16566,0.6990220934444042,0.3573584450078474,-0.34166364843655683
22B,87,8722,5746,12807,0.6810338096353556,0.44866088857655967,-0.23237292105879598
32B,16,9835,7873,17709,0.5553673273476764,0.4445762041899599,-0.11079112315771644
01B,123,7024,8300,13921,0.5045614539185403,0.5962215358092091,0.09166008189066877
45A,18,6946,8545,15288,0.4543432757718472,0.558935112506541,0.10459183673469385
40B,10,4130,6481,10434,0.39582135326816176,0.6211424190147594,0.22532106574659766
57,26,19216,12915,32155,0.5976053490903437,0.40164826621054267,-0.19595708287980101
48B,11,10883,6728,16053,0.6779418177287735,0.41911169251853236,-0.2588301252102411
50B,15,6763,8603,16982,0.39824520080084796,0.5065952184666117,0.10835001766576374
33A,16,13335,4182,18843,0.707689858302818,0.2219391816589715,-0.4857506766438465
52A,16,5752,8936,14839,0.3876271985982883,0.6021969135386481,0.2145697149403598
53,23,15871,15510,31858,0.4981794211814929,0.4868478875007847,-0.011331533680708161
64B,15,5622,12738,18642,0.30157708400386224,0.6832957837141937,0.3817186997103315
